1	2	6
1	3	2
1	4	25
1	5	72
1	7	48
1	12	13
1	15	2
1	17	27
1	19	9
1	20	14
1	21	5
1	22	3
1	23	7
1	24	36
1	25	4
1	26	9
1	27	12
1	28	9
1	29	2
1	30	7
1	31	3
1	33	2
1	35	4
2	1	6
2	3	25
2	4	2
2	6	72
2	8	48
2	12	18
2	16	2
2	18	27
2	19	9
2	20	14
2	21	5
2	23	37
2	24	10
2	25	4
2	26	9
2	27	12
2	28	9
2	29	2
2	30	7
2	31	2
2	33	2
2	35	4
3	1	2
3	2	25
3	4	4
3	5	1
3	6	3
3	8	3
3	12	4
3	22	1
3	23	4
3	24	9
3	28	1
3	38	1
4	1	25
4	2	2
4	3	4
4	5	3
4	6	1
4	7	3
4	12	5
4	23	16
4	24	6
4	28	1
4	38	1
5	1	72
5	3	1
5	4	3
5	6	4
5	7	1
5	12	6
5	19	2
5	20	1
5	21	1
5	23	4
5	24	6
5	25	2
5	26	6
5	27	4
5	28	3
5	32	1
5	35	3
6	2	72
6	3	3
6	4	1
6	5	4
6	8	1
6	12	14
6	19	2
6	20	1
6	21	1
6	23	6
6	24	2
6	25	2
6	26	6
6	27	4
6	28	3
6	32	1
6	35	3
7	1	48
7	4	3
7	5	1
7	14	1
7	22	8
7	23	3
7	24	3
7	25	6
7	26	4
7	27	1
7	31	2
7	35	5
7	38	1
8	2	48
8	3	3
8	6	1
8	14	1
8	22	6
8	23	1
8	24	2
8	25	6
8	26	4
8	27	1
8	31	2
8	35	5
8	38	1
9	11	4
9	14	9
9	38	22
9	39	7
9	44	22
10	11	1
10	14	1
10	22	1
10	23	4
10	24	4
10	38	9
10	39	22
10	40	7
10	44	22
11	9	4
11	10	1
11	13	19
11	14	1
11	25	1
11	35	18
11	44	29
12	1	13
12	2	18
12	3	4
12	4	5
12	5	6
12	6	14
12	22	1
12	24	1
13	11	19
13	14	8
13	38	6
13	44	23
14	7	1
14	8	1
14	9	9
14	10	1
14	11	1
14	13	8
14	25	23
14	35	3
14	44	8
15	1	2
15	16	2
15	22	61
15	23	3
16	2	2
16	15	2
16	22	63
16	24	3
17	1	27
17	18	2
17	22	3
17	24	28
18	2	27
18	17	2
18	22	3
18	23	28
19	1	9
19	2	9
19	5	2
19	6	2
19	20	1
19	21	1
19	26	1
19	34	1
19	36	2
19	37	16
19	44	15
20	1	14
20	2	14
20	5	1
20	6	1
20	19	1
20	21	1
20	30	1
20	37	23
20	44	29
21	1	5
21	2	5
21	5	1
21	6	1
21	19	1
21	20	1
21	37	23
21	44	29
22	1	3
22	3	1
22	7	8
22	8	6
22	10	1
22	12	1
22	15	61
22	16	63
22	17	3
22	18	3
22	23	9
22	24	4
22	31	3
22	32	1
22	33	1
22	34	2
23	1	7
23	2	37
23	3	4
23	4	16
23	5	4
23	6	6
23	7	3
23	8	1
23	10	4
23	15	3
23	18	28
23	22	9
23	24	4
23	25	1
23	31	5
23	32	7
23	33	3
23	34	4
24	1	36
24	2	10
24	3	9
24	4	6
24	5	6
24	6	2
24	7	3
24	8	2
24	10	4
24	12	1
24	16	3
24	17	28
24	22	4
24	23	4
24	25	1
24	31	5
24	32	7
24	33	3
24	34	4
25	1	4
25	2	4
25	5	2
25	6	2
25	7	6
25	8	6
25	11	1
25	14	23
25	23	1
25	24	1
25	38	6
25	44	29
26	1	9
26	2	9
26	5	6
26	6	6
26	7	4
26	8	4
26	19	1
26	27	1
26	38	23
26	39	6
26	44	29
27	1	12
27	2	12
27	5	4
27	6	4
27	7	1
27	8	1
27	26	1
27	28	1
27	39	23
27	40	6
27	41	1
27	44	29
28	1	9
28	2	9
28	3	1
28	4	1
28	5	3
28	6	3
28	27	1
28	29	1
28	41	23
28	42	1
28	44	29
29	1	2
29	2	2
29	28	1
29	30	1
29	43	23
29	44	29
30	1	7
30	2	7
30	20	1
30	29	1
30	36	23
30	37	1
30	44	29
31	1	3
31	2	2
31	7	2
31	8	2
31	22	3
31	23	5
31	24	5
31	38	1
31	39	9
31	40	22
31	41	7
31	44	22
32	5	1
32	6	1
32	22	1
32	23	7
32	24	7
32	39	1
32	40	9
32	41	22
32	42	7
32	44	22
33	1	2
33	2	2
33	22	1
33	23	3
33	24	3
33	40	1
33	41	9
33	42	22
33	43	7
33	44	22
34	19	1
34	22	2
34	23	4
34	24	4
34	36	22
34	37	7
34	43	1
34	44	22
35	1	4
35	2	4
35	5	3
35	6	3
35	7	5
35	8	5
35	11	18
35	14	3
35	38	2
35	44	31
36	19	2
36	30	23
36	34	22
36	44	8
37	19	16
37	20	23
37	21	23
37	30	1
37	34	7
37	44	8
38	3	1
38	4	1
38	7	1
38	8	1
38	9	22
38	10	9
38	13	6
38	25	6
38	26	23
38	31	1
38	35	2
38	44	25
39	9	7
39	10	22
39	26	6
39	27	23
39	31	9
39	32	1
39	44	25
40	10	7
40	27	6
40	31	22
40	32	9
40	33	1
40	44	25
41	27	1
41	28	23
41	31	7
41	32	22
41	33	9
41	44	25
42	28	1
42	32	7
42	33	22
42	44	25
43	29	23
43	33	7
43	34	1
43	44	25
44	9	22
44	10	22
44	11	29
44	13	23
44	14	8
44	19	15
44	20	29
44	21	29
44	25	29
44	26	29
44	27	29
44	28	29
44	29	29
44	30	29
44	31	22
44	32	22
44	33	22
44	34	22
44	35	31
44	36	8
44	37	8
44	38	25
44	39	25
44	40	25
44	41	25
44	42	25
44	43	25
